epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9425,0.88339,3.43851,0.92463,0.52455,0.16355,0.16896,0.14523,0.62167,2.90739,0.83133,0.000194218,0.000194218,0.000194218
2,26.6856,0.78527,2.36199,0.88425,0.52762,0.39535,0.28278,0.23864,0.63538,2.14817,0.83582,0.000382492,0.000382492,0.000382492
3,39.3615,0.74584,2.04597,0.87541,0.59029,0.37791,0.32104,0.27294,0.59535,2.26175,0.8287,0.000563004,0.000563004,0.000563004
4,51.9755,0.71751,1.85585,0.87065,0.6781,0.42114,0.41793,0.36574,0.56691,1.80081,0.81821,0.000553073,0.000553073,0.000553073
5,64.6787,0.69184,1.68917,0.85996,0.71215,0.39382,0.42638,0.37612,0.55601,1.68314,0.81408,0.00054143,0.00054143,0.00054143
6,77.2119,0.6696,1.59786,0.8574,0.72786,0.41989,0.46423,0.4077,0.52086,1.57179,0.80689,0.000529788,0.000529788,0.000529788
7,89.8482,0.65587,1.50956,0.85792,0.58503,0.4106,0.41228,0.36276,0.5396,1.72777,0.81234,0.000518146,0.000518146,0.000518146
8,102.639,0.64867,1.4157,0.85081,0.5932,0.43594,0.44325,0.38679,0.5377,1.65775,0.80501,0.000506503,0.000506503,0.000506503
9,115.222,0.6361,1.32536,0.85061,0.61763,0.44359,0.44533,0.39317,0.4978,1.57618,0.80505,0.000494861,0.000494861,0.000494861
10,127.275,0.63284,1.31953,0.85013,0.69597,0.47505,0.51426,0.45581,0.49074,1.35494,0.79759,0.000483218,0.000483218,0.000483218
11,139.285,0.62452,1.26526,0.84965,0.62342,0.48573,0.48252,0.42987,0.4895,1.34965,0.80203,0.000471576,0.000471576,0.000471576
12,151.114,0.61377,1.22161,0.84717,0.67781,0.47554,0.50956,0.45206,0.47443,1.26141,0.799,0.000459934,0.000459934,0.000459934
13,163.011,0.59523,1.15701,0.8444,0.63014,0.42866,0.45417,0.39937,0.48424,1.55523,0.79983,0.000448291,0.000448291,0.000448291
14,175.504,0.6001,1.15196,0.84215,0.7086,0.47027,0.5226,0.47134,0.46428,1.25703,0.7959,0.000436649,0.000436649,0.000436649
15,188.284,0.59387,1.10416,0.84325,0.69818,0.45658,0.50903,0.45255,0.47281,1.29595,0.79819,0.000425006,0.000425006,0.000425006
16,200.859,0.58762,1.05847,0.84046,0.65834,0.48915,0.51179,0.45698,0.46574,1.36108,0.79563,0.000413364,0.000413364,0.000413364
17,212.708,0.58596,1.0648,0.84122,0.64543,0.48967,0.51043,0.45615,0.45714,1.28897,0.79665,0.000401722,0.000401722,0.000401722
18,224.809,0.57153,0.99763,0.83902,0.69319,0.48499,0.52529,0.47503,0.45483,1.22053,0.79424,0.000390079,0.000390079,0.000390079
19,237.129,0.56814,0.98624,0.83727,0.6271,0.48613,0.53011,0.47734,0.44321,1.13369,0.79197,0.000378437,0.000378437,0.000378437
20,250.773,0.56163,0.96801,0.8385,0.63852,0.51125,0.53532,0.48179,0.44405,1.13791,0.79342,0.000366794,0.000366794,0.000366794
21,265.047,0.56058,0.93639,0.83274,0.58625,0.53707,0.50478,0.44944,0.44484,1.37582,0.79226,0.000355152,0.000355152,0.000355152
22,277.745,0.56117,0.91301,0.83731,0.51645,0.54584,0.54466,0.49177,0.4429,1.11569,0.79135,0.00034351,0.00034351,0.00034351
23,290.178,0.5623,0.91591,0.83765,0.58203,0.55217,0.5283,0.47601,0.44075,1.30054,0.79238,0.000331867,0.000331867,0.000331867
24,302.372,0.55928,0.89336,0.83159,0.658,0.54843,0.548,0.49661,0.42907,1.11153,0.78897,0.000320225,0.000320225,0.000320225
25,314.534,0.54805,0.87172,0.83433,0.67924,0.49907,0.52043,0.47043,0.42726,1.33267,0.78746,0.000308582,0.000308582,0.000308582
26,326.425,0.55275,0.84574,0.83263,0.67638,0.51313,0.53955,0.48312,0.44019,1.22197,0.79167,0.00029694,0.00029694,0.00029694
27,338.259,0.54469,0.81761,0.83415,0.57105,0.53065,0.5426,0.49128,0.4272,1.2062,0.79168,0.000285298,0.000285298,0.000285298
28,350.136,0.5475,0.82027,0.83471,0.5822,0.5708,0.53597,0.48279,0.42141,1.18763,0.78782,0.000273655,0.000273655,0.000273655
29,362.105,0.53026,0.80564,0.83132,0.47019,0.57155,0.53925,0.48572,0.42867,1.22667,0.78974,0.000262013,0.000262013,0.000262013
30,374.121,0.53724,0.79322,0.83298,0.65086,0.53885,0.55194,0.50012,0.42459,1.17516,0.78832,0.00025037,0.00025037,0.00025037
31,386.077,0.53093,0.77514,0.82988,0.61659,0.56032,0.53817,0.48761,0.42329,1.3024,0.78819,0.000238728,0.000238728,0.000238728
32,397.668,0.52335,0.75008,0.82791,0.67327,0.54245,0.54627,0.50041,0.41905,1.19427,0.7874,0.000227086,0.000227086,0.000227086
33,409.403,0.52869,0.74761,0.83054,0.55385,0.58003,0.56841,0.51518,0.41225,1.16729,0.78601,0.000215443,0.000215443,0.000215443
34,421.068,0.52349,0.73602,0.8272,0.66643,0.55373,0.56418,0.5135,0.41586,1.0867,0.78712,0.000203801,0.000203801,0.000203801
35,432.903,0.51288,0.7036,0.82876,0.52891,0.54629,0.53782,0.48948,0.40513,1.19912,0.78629,0.000192158,0.000192158,0.000192158
36,444.842,0.51729,0.69468,0.82677,0.55895,0.53486,0.55339,0.50474,0.40151,1.16535,0.78469,0.000180516,0.000180516,0.000180516
37,456.477,0.51516,0.6966,0.82722,0.66909,0.50358,0.56381,0.51538,0.40401,1.16251,0.78579,0.000168874,0.000168874,0.000168874
38,467.975,0.52171,0.68295,0.82557,0.63231,0.55524,0.55484,0.50638,0.40107,1.16268,0.78543,0.000157231,0.000157231,0.000157231
39,479.467,0.49571,0.65255,0.82247,0.65592,0.53511,0.55973,0.50686,0.39784,1.14595,0.78344,0.000145589,0.000145589,0.000145589
40,491.197,0.50258,0.65277,0.82425,0.57031,0.57327,0.55945,0.51231,0.39638,1.09999,0.7837,0.000133946,0.000133946,0.000133946
41,522.335,0.46522,0.59541,0.79943,0.63484,0.52144,0.52486,0.47552,0.41455,1.37049,0.78897,0.000122304,0.000122304,0.000122304
42,533.57,0.45807,0.55988,0.80444,0.63998,0.53106,0.55544,0.50541,0.40427,1.23622,0.78571,0.000110662,0.000110662,0.000110662
43,544.908,0.45002,0.54236,0.80093,0.66328,0.53148,0.55342,0.50476,0.40418,1.18723,0.78531,9.90192e-05,9.90192e-05,9.90192e-05
44,556.377,0.45136,0.52886,0.7988,0.55277,0.55924,0.56801,0.51746,0.3989,1.06031,0.78484,8.73768e-05,8.73768e-05,8.73768e-05
45,567.681,0.44436,0.51296,0.80388,0.56732,0.52778,0.55591,0.50767,0.40123,1.13691,0.7849,7.57344e-05,7.57344e-05,7.57344e-05
46,578.991,0.43836,0.49514,0.79902,0.66288,0.55061,0.56456,0.51315,0.39841,1.18302,0.78358,6.4092e-05,6.4092e-05,6.4092e-05
47,590.398,0.43721,0.49153,0.79693,0.5609,0.55985,0.55919,0.5108,0.39537,1.09791,0.78323,5.24496e-05,5.24496e-05,5.24496e-05
48,601.825,0.43304,0.46939,0.79571,0.57214,0.54164,0.56441,0.51363,0.39445,1.12501,0.78354,4.08072e-05,4.08072e-05,4.08072e-05
49,613.406,0.42951,0.47381,0.79668,0.56678,0.54736,0.54978,0.50012,0.39265,1.11949,0.78289,2.91648e-05,2.91648e-05,2.91648e-05
50,625.059,0.42921,0.46074,0.79631,0.56494,0.56119,0.55409,0.5052,0.38825,1.12398,0.78271,1.75224e-05,1.75224e-05,1.75224e-05
